product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
Electricity Bill,Residential Bill,Reliance Energy,8108.09,13.2,36.14,867,Wallet Balance,Successful,Android,Urban
Water Bill,Industrial Use,Chennai Metro Water,3424.46,27.19,3.46,831,UPI,Successful,Web,Suburban
Internet Bill,4G Unlimited Plan,Hathway,2896.65,18.2,80.13,808,Debit Card,Successful,iOS,Urban
Gas Bill,Auto LPG,Mahanagar Gas,9067.49,16.75,51.84,719,Debit Card,Successful,Android,Suburban
Streaming Service,Standard Plan,Amazon Prime,1188.69,32.07,46.51,490,UPI,Successful,Android,Suburban
Rent Payment,1BHK Apartment Rent,Housing.com,2938.73,12.92,46.18,481,Bank Transfer,Successful,iOS,Suburban
Mobile Recharge,Postpaid Plan 599,Vodafone,2189.95,14.73,89.05,803,UPI,Successful,Android,Urban
Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,4691.67,38.55,80.81,981,Debit Card,Successful,Android,Suburban
Food Delivery,Vegetable Biryani,Foodpanda,857.92,41.42,44.5,43,Credit Card,Successful,Android,Urban
Online Shopping,Fitness Tracker,Nykaa,8391.75,31.98,99.29,514,Bank Transfer,Successful,Android,Urban
Water Bill,Commercial Property,Mumbai Water,9128.09,9.06,47.54,337,Debit Card,Successful,Web,Urban
Movie Ticket,3 Idiots,SPI Cinemas,3426.77,10.67,39.77,739,Debit Card,Successful,Android,Urban
Streaming Service,Standard Plan,Hotstar,8125.43,31.15,75.32,916,Bank Transfer,Successful,Android,Rural
Movie Ticket,Baahubali 2,Cinepolis,6496.05,10.27,1.54,117,Bank Transfer,Successful,Web,Urban
Movie Ticket,Baahubali 2,Cinepolis,1422.16,2.7,23.37,745,Debit Card,Successful,Web,Urban
Flight Booking,Chennai to Hyderabad,MakeMyTrip,7018.18,14.38,1.93,130,Credit Card,Successful,Android,Urban
Insurance Premium,Travel Insurance,HDFC Life,7061.81,16.36,31.02,689,Debit Card,Successful,Android,Urban
Electricity Bill,Industrial Bill,Reliance Energy,4136.44,27.96,79.1,85,Bank Transfer,Successful,Android,Urban
Loan Repayment,Home Loan EMI,SBI,4527.36,44.44,43.92,771,Debit Card,Failed,Android,Urban
Loan Repayment,Business Loan Repayment,Bajaj Finserv,7892.35,1.59,10.34,712,Debit Card,Successful,iOS,Urban
Mobile Recharge,Data Pack 50GB,Vodafone,2668.82,16.31,8.45,100,UPI,Successful,Android,Urban
Education Fee,MBA Entrance Prep,Udemy,8739.5,6.53,1.15,368,Bank Transfer,Successful,iOS,Urban
Flight Booking,Ahmedabad to Jaipur,Yatra,5080.37,18.86,61.96,536,Credit Card,Successful,iOS,Urban
Mobile Recharge,Annual Plan 2999,Jio,8451.05,5.48,6.55,265,Credit Card,Successful,Android,Urban
Bus Ticket,Volvo Multi-Axle,Goibibo,12.86,36.32,18.54,271,Credit Card,Successful,Web,Urban
Grocery Shopping,Whole Wheat Atta,BigBasket,1445.33,18.06,53.29,995,Credit Card,Successful,iOS,Urban
Water Bill,Industrial Use,Hyderabad Water Board,3635.8,5.49,16.98,506,Credit Card,Successful,Android,Urban
Internet Bill,Student Special Plan,Jio Fiber,9480.13,13.75,66.23,765,Credit Card,Successful,Android,Urban
Bus Ticket,AC Seater,Goibibo,7517.7,21.91,94.53,777,Wallet Balance,Successful,Android,Urban
Internet Bill,4G Unlimited Plan,Jio Fiber,2207.77,43.56,1.96,974,Wallet Balance,Successful,iOS,Suburban
Food Delivery,Butter Chicken,Uber Eats,3366.31,2.87,75.32,301,Bank Transfer,Successful,Android,Urban
Rent Payment,2BHK Flat Deposit,Nestaway,1238.04,31.05,7.53,215,UPI,Successful,iOS,Suburban
Streaming Service,Basic Plan,ZEE5,6361.03,6.08,16.61,185,Debit Card,Successful,Android,Suburban
Food Delivery,Masala Dosa,Domino's,2966.49,36.57,25.29,17,Bank Transfer,Successful,Web,Urban
Food Delivery,Pizza Margherita,Uber Eats,8591.59,40.07,8.79,639,Credit Card,Successful,Android,Urban
Education Fee,MBA Entrance Prep,Coursera,4804.37,47.31,34.84,59,UPI,Successful,Android,Urban
Water Bill,Tanker Supply,Bangalore Water Supply,7572.76,23.8,4.28,743,UPI,Successful,iOS,Suburban
Streaming Service,Premium Plan,Hotstar,5841.56,33.2,5.62,657,Debit Card,Successful,Web,Urban
Electricity Bill,Agricultural Bill,Reliance Energy,5060.4,40.23,34.4,808,Bank Transfer,Successful,Web,Urban
Education Fee,MBA Entrance Prep,Coursera,6696.57,37.49,31.55,741,Bank Transfer,Successful,Android,Rural
Water Bill,Commercial Property,Chennai Metro Water,6139.37,24.65,35.73,105,Credit Card,Successful,Android,Urban
Mobile Recharge,Family Plan 999,Vodafone,311.14,24.2,73.73,470,Debit Card,Successful,iOS,Urban
Grocery Shopping,Basmati Rice,BigBasket,4241.54,38.1,37.51,140,Credit Card,Successful,iOS,Urban
Grocery Shopping,Dairy Milk Chocolate,Grofers,9425.57,35.34,32.74,46,Credit Card,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,2356.93,20.48,78.2,356,Debit Card,Successful,Android,Urban
Online Shopping,Smart LED TV,Snapdeal,7395.31,23.91,39.39,798,Debit Card,Successful,Android,Suburban
Electricity Bill,Commercial Bill,CESC,7602.07,34.42,82.11,849,UPI,Successful,iOS,Urban
Streaming Service,Family Subscription,ZEE5,6337.18,6.01,99.34,679,Credit Card,Successful,iOS,Rural
Taxi Fare,City Ride,Ola,3692.3,6.02,95.87,929,Bank Transfer,Successful,iOS,Urban
Grocery Shopping,Basmati Rice,Grofers,1142.21,35.62,42.15,124,Wallet Balance,Failed,Android,Urban
Education Fee,Python Programming Course,Unacademy,285.88,45.46,12.95,75,UPI,Successful,Android,Urban
Gas Bill,Auto LPG,Adani Gas,4850.57,18.27,72.06,772,Wallet Balance,Successful,iOS,Suburban
Gift Card,Rs. 2000 Gift Voucher,Shoppers Stop,2561.56,17.73,85.84,601,Credit Card,Successful,iOS,Urban
Mobile Recharge,Postpaid Plan 599,BSNL,7444.55,31.44,6.0,713,Bank Transfer,Successful,iOS,Suburban
Streaming Service,Basic Plan,Hotstar,4107.54,48.36,74.12,287,Wallet Balance,Successful,Android,Urban
Gift Card,Rs. 2000 Gift Voucher,Lifestyle,8138.42,11.22,37.25,26,Wallet Balance,Successful,iOS,Suburban
Taxi Fare,Share Ride,Jugnoo,7753.32,14.2,51.88,10,Debit Card,Successful,iOS,Suburban
Electricity Bill,Residential Bill,BSES,401.62,34.59,49.53,974,Credit Card,Successful,Web,Urban
Gaming Credits,1000 Game Coins,PUBG Mobile,9798.21,10.88,74.99,648,Bank Transfer,Successful,iOS,Urban
Insurance Premium,Home Insurance,Max Life,3219.31,30.47,16.05,184,Wallet Balance,Successful,iOS,Urban
Loan Repayment,Business Loan Repayment,Axis Bank,7838.24,38.64,2.2,320,Debit Card,Successful,iOS,Urban
Loan Repayment,Education Loan EMI,Bajaj Finserv,9563.15,6.98,39.67,987,Bank Transfer,Successful,Android,Urban
Mobile Recharge,Data Pack 50GB,Jio,8770.44,14.71,65.33,551,UPI,Successful,Android,Urban
Taxi Fare,Share Ride,Ola,5436.1,44.56,33.44,84,Wallet Balance,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,PUBG Mobile,2008.49,34.38,6.54,405,Credit Card,Successful,Web,Urban
Insurance Premium,Motor Insurance,HDFC Life,159.65,40.69,99.87,827,Bank Transfer,Successful,Android,Urban
Online Shopping,Laptop Backpack,Myntra,9479.03,12.31,65.73,200,UPI,Successful,Android,Urban
Streaming Service,Basic Plan,Amazon Prime,808.63,1.44,55.3,293,UPI,Successful,iOS,Urban
Electricity Bill,Residential Bill,Reliance Energy,4637.33,24.59,36.95,276,Debit Card,Successful,Android,Suburban
Flight Booking,Pune to Goa,Ixigo,6639.25,46.3,72.48,462,Wallet Balance,Successful,Android,Urban
Food Delivery,Butter Chicken,Uber Eats,4260.66,16.61,9.01,2,Wallet Balance,Successful,Android,Suburban
Hotel Booking,Deluxe Room,Airbnb,8409.93,42.68,71.4,996,Wallet Balance,Successful,Android,Urban
Internet Bill,Business Internet Plan,Airtel Broadband,5217.66,46.04,6.6,746,Wallet Balance,Successful,iOS,Suburban
Mobile Recharge,Data Pack 50GB,Jio,4156.3,19.26,33.14,279,Credit Card,Successful,Android,Suburban
Water Bill,Commercial Property,Mumbai Water,8952.34,41.54,80.92,260,Credit Card,Successful,Web,Urban
Loan Repayment,Home Loan EMI,ICICI Bank,8459.5,33.75,10.8,556,Debit Card,Successful,Android,Rural
Mobile Recharge,Family Plan 999,Airtel,7881.82,48.46,75.81,220,Credit Card,Successful,Android,Urban
Electricity Bill,Commercial Bill,Tata Power,1377.65,19.26,92.51,921,UPI,Successful,iOS,Urban
Hotel Booking,Deluxe Room,Fab Hotels,2910.3,6.78,74.97,727,UPI,Successful,Android,Urban
Internet Bill,4G Unlimited Plan,Airtel Broadband,7160.72,19.52,43.27,198,UPI,Failed,iOS,Urban
Gaming Credits,Battle Pass,PUBG Mobile,5617.83,14.28,6.46,925,UPI,Successful,Android,Suburban
Education Fee,MBA Entrance Prep,Vedantu,1131.67,20.89,49.26,901,Bank Transfer,Successful,Web,Suburban
Loan Repayment,Personal Loan Payment,SBI,9082.41,37.06,63.76,828,Bank Transfer,Successful,iOS,Urban
Streaming Service,Premium Plan,Netflix,5324.86,44.27,50.04,525,UPI,Failed,Android,Rural
Loan Repayment,Car Loan Installment,SBI,2386.99,9.73,53.97,345,UPI,Successful,Android,Urban
Online Shopping,Smart LED TV,Flipkart,856.1,4.23,76.02,979,Bank Transfer,Successful,Android,Rural
Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,306.79,31.96,28.41,567,Wallet Balance,Successful,iOS,Urban
Internet Bill,Student Special Plan,Airtel Broadband,1197.19,34.77,35.97,388,Wallet Balance,Successful,Android,Urban
Education Fee,IELTS Training,Unacademy,1136.18,19.32,44.23,935,Debit Card,Successful,Android,Urban
Gift Card,Rs. 5000 Luxury Card,Shoppers Stop,9532.34,5.14,3.66,828,Debit Card,Successful,Android,Urban
Electricity Bill,Temporary Connection Bill,Reliance Energy,1266.71,28.03,31.74,700,Debit Card,Successful,Android,Rural
Online Shopping,Smart LED TV,Snapdeal,8304.95,42.61,18.14,706,Credit Card,Successful,Android,Urban
Gas Bill,Industrial Gas Supply,Mahanagar Gas,8833.85,7.96,43.05,629,Credit Card,Successful,Android,Urban
Gaming Credits,Premium Skin,Minecraft,4931.17,20.72,72.59,386,Wallet Balance,Successful,Android,Rural
Flight Booking,Delhi to Mumbai,MakeMyTrip,7373.47,20.99,15.03,55,Debit Card,Successful,Android,Urban
Loan Repayment,Personal Loan Payment,Axis Bank,4045.53,48.4,0.96,975,Bank Transfer,Successful,Android,Urban
Gift Card,Rs. 5000 Luxury Card,Pantaloons,3895.7,21.24,44.34,78,Wallet Balance,Successful,iOS,Urban
Education Fee,MBA Entrance Prep,Unacademy,5909.45,28.56,57.75,583,Credit Card,Successful,iOS,Urban
Bus Ticket,Volvo Multi-Axle,Paytm Bus,1617.22,38.06,35.5,755,Bank Transfer,Successful,iOS,Urban
Internet Bill,Broadband 50Mbps Plan,Jio Fiber,1362.66,22.0,66.23,184,Wallet Balance,Successful,Android,Urban
Online Shopping,Fitness Tracker,Amazon,4473.63,45.6,25.78,388,UPI,Successful,iOS,Urban
Gas Bill,Auto LPG,Gujarat Gas,5756.92,3.04,64.1,504,UPI,Successful,Android,Suburban
Flight Booking,Chennai to Hyderabad,Yatra,4832.85,38.25,95.8,450,Wallet Balance,Successful,Android,Urban
Gaming Credits,Premium Skin,Minecraft,2981.17,18.65,30.62,411,Wallet Balance,Successful,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Nature's Basket,1166.92,22.29,21.13,292,UPI,Successful,Android,Urban
Insurance Premium,Motor Insurance,SBI Life,2237.63,28.09,54.35,370,Credit Card,Successful,iOS,Urban
Gift Card,Rs. 2000 Gift Voucher,Shoppers Stop,598.18,39.95,22.63,247,Credit Card,Successful,iOS,Urban
Rent Payment,PG Accommodation,NoBroker,9274.76,1.97,49.03,229,Wallet Balance,Successful,Android,Suburban
Internet Bill,Broadband 50Mbps Plan,ACT Fibernet,9477.5,4.87,5.6,923,Wallet Balance,Successful,iOS,Rural
Online Shopping,Laptop Backpack,Snapdeal,5155.7,45.25,54.56,221,Bank Transfer,Successful,iOS,Urban
Food Delivery,Masala Dosa,Swiggy,372.37,13.81,7.16,497,UPI,Successful,iOS,Urban
Gaming Credits,Battle Pass,Minecraft,8107.72,4.81,0.79,859,Bank Transfer,Failed,iOS,Urban
Loan Repayment,Personal Loan Payment,Axis Bank,9491.63,19.25,92.33,645,Bank Transfer,Pending,Android,Rural
Gas Bill,Piped Natural Gas,Gujarat Gas,3218.18,6.73,23.5,749,Credit Card,Successful,iOS,Urban
Education Fee,IELTS Training,Unacademy,3589.73,37.44,31.78,690,Bank Transfer,Successful,Android,Urban
Education Fee,Python Programming Course,BYJU'S,5864.16,23.07,44.7,591,UPI,Successful,Web,Urban
Food Delivery,Butter Chicken,Swiggy,945.04,11.53,36.87,786,Wallet Balance,Successful,Android,Urban
Taxi Fare,Airport Transfer,Rapido,3652.06,48.04,61.0,722,Bank Transfer,Successful,Android,Urban
Hotel Booking,Deluxe Room,Fab Hotels,3555.68,7.11,88.51,541,Debit Card,Successful,iOS,Urban
Flight Booking,Bangalore to Kolkata,Yatra,5752.3,12.65,17.18,163,Bank Transfer,Successful,Android,Urban
Water Bill,Borewell Charges,Mumbai Water,2638.98,19.81,73.97,57,UPI,Successful,iOS,Urban
Hotel Booking,Service Apartment,OYO Rooms,3920.15,4.73,82.64,264,Credit Card,Successful,Android,Urban
Water Bill,Borewell Charges,Mumbai Water,3677.16,13.34,52.64,301,Credit Card,Successful,Android,Suburban
Mobile Recharge,Family Plan 999,Jio,8516.79,25.8,67.08,207,Bank Transfer,Successful,Android,Urban
Flight Booking,Ahmedabad to Jaipur,EaseMyTrip,2380.44,17.5,86.02,103,Credit Card,Successful,iOS,Suburban
Gift Card,Rs. 2000 Gift Voucher,Flipkart,6063.0,48.92,73.0,667,Bank Transfer,Successful,Android,Urban
Flight Booking,Bangalore to Kolkata,Cleartrip,1902.67,38.2,23.19,374,Credit Card,Successful,iOS,Rural
Food Delivery,Pizza Margherita,Uber Eats,3754.59,12.11,11.38,254,Credit Card,Successful,iOS,Urban
Gas Bill,Auto LPG,Adani Gas,6107.51,2.08,34.9,63,Bank Transfer,Successful,iOS,Urban
Bus Ticket,Sleeper Class,Paytm Bus,428.94,12.87,97.4,906,Bank Transfer,Successful,Android,Suburban
Streaming Service,Basic Plan,ZEE5,682.42,4.77,92.1,638,Credit Card,Successful,Android,Suburban
Electricity Bill,Commercial Bill,Reliance Energy,8583.88,3.97,31.19,327,Debit Card,Successful,iOS,Urban
Flight Booking,Chennai to Hyderabad,EaseMyTrip,9212.94,30.28,18.71,991,Wallet Balance,Successful,iOS,Urban
Gas Bill,Industrial Gas Supply,Bharat Gas,916.85,49.82,27.51,487,Wallet Balance,Failed,iOS,Urban
Gas Bill,Piped Natural Gas,Gujarat Gas,1648.58,25.36,82.85,395,UPI,Successful,Android,Urban
Hotel Booking,Dormitory Bed,Treebo,2443.03,26.39,57.64,721,Debit Card,Successful,Android,Urban
Mobile Recharge,Prepaid Plan 399,Airtel,6962.62,23.33,15.48,341,UPI,Successful,Android,Urban
Insurance Premium,Health Insurance,Max Life,377.52,35.06,27.44,145,Wallet Balance,Successful,iOS,Urban
Online Shopping,Wireless Earbuds,Myntra,8153.9,37.2,37.57,14,Debit Card,Failed,Android,Suburban
Online Shopping,Wireless Earbuds,Nykaa,9726.17,46.25,50.66,586,Debit Card,Successful,Android,Urban
Streaming Service,Student Offer,Hotstar,6574.17,49.65,57.6,955,Debit Card,Successful,iOS,Urban
Electricity Bill,Temporary Connection Bill,CESC,2735.56,9.73,98.0,673,Wallet Balance,Successful,Android,Urban
Movie Ticket,3 Idiots,SPI Cinemas,2295.83,41.03,50.18,359,Bank Transfer,Successful,iOS,Urban
Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,3760.0,22.11,37.37,720,Bank Transfer,Successful,Android,Urban
Streaming Service,Standard Plan,Netflix,8716.43,37.27,41.9,574,Bank Transfer,Successful,Web,Urban
Electricity Bill,Industrial Bill,BSES,6195.65,29.1,1.45,694,Debit Card,Successful,Android,Urban
Hotel Booking,Suite,Airbnb,4332.15,1.42,67.68,834,UPI,Successful,iOS,Rural
Gas Bill,Piped Natural Gas,Indraprastha Gas,1447.42,34.31,16.89,281,Bank Transfer,Successful,Android,Urban
Streaming Service,Family Subscription,Netflix,66.4,14.57,6.52,196,Wallet Balance,Successful,Android,Suburban
Insurance Premium,Term Life Policy,LIC,7631.8,16.01,79.7,787,Debit Card,Successful,Android,Urban
Online Shopping,Smart LED TV,Myntra,7364.1,15.17,14.29,508,UPI,Successful,Web,Rural
Bus Ticket,Volvo Multi-Axle,AbhiBus,2920.61,45.93,62.67,76,Bank Transfer,Successful,Android,Urban
Hotel Booking,Deluxe Room,OYO Rooms,6417.39,39.5,0.2,384,UPI,Successful,Android,Urban
Education Fee,Digital Marketing Certification,Udemy,2173.06,47.74,78.75,127,UPI,Successful,Android,Urban
Gift Card,Rs. 2000 Gift Voucher,Lifestyle,3366.2,33.17,90.8,342,Wallet Balance,Successful,Web,Urban
Rent Payment,PG Accommodation,OYO Life,7496.7,37.37,54.15,183,Credit Card,Successful,Android,Rural
Mobile Recharge,Prepaid Plan 399,BSNL,8172.63,16.86,10.27,127,Credit Card,Successful,Android,Urban
Water Bill,Commercial Property,Bangalore Water Supply,4275.89,35.15,24.18,734,UPI,Successful,iOS,Urban
Movie Ticket,PK,Cinepolis,5413.79,36.0,85.86,996,Credit Card,Successful,Android,Urban
Electricity Bill,Residential Bill,CESC,3969.47,9.23,45.63,981,UPI,Failed,Android,Suburban
Food Delivery,Chilli Paneer,Swiggy,2385.83,7.8,29.81,853,Bank Transfer,Successful,Android,Urban
Gas Bill,Auto LPG,Gujarat Gas,836.49,23.88,95.15,328,Bank Transfer,Successful,iOS,Suburban
Streaming Service,Premium Plan,Hotstar,4402.89,7.77,80.66,989,Bank Transfer,Successful,Android,Suburban
Hotel Booking,Dormitory Bed,MakeMyTrip,7514.41,46.04,96.62,873,Credit Card,Successful,Android,Rural
Insurance Premium,Health Insurance,HDFC Life,8498.91,12.64,4.16,233,Bank Transfer,Successful,Android,Urban
Food Delivery,Vegetable Biryani,Domino's,1786.58,21.82,85.91,530,Debit Card,Successful,iOS,Urban
Education Fee,Digital Marketing Certification,Unacademy,1235.83,5.05,63.46,185,Bank Transfer,Successful,iOS,Urban
Gaming Credits,500 Gems Pack,PUBG Mobile,4687.13,43.31,83.34,738,Bank Transfer,Successful,Android,Urban
Hotel Booking,Villa,OYO Rooms,4701.07,46.28,34.37,233,Wallet Balance,Successful,iOS,Rural
Insurance Premium,Travel Insurance,Max Life,5165.97,33.54,45.16,742,Debit Card,Successful,Android,Urban
Hotel Booking,Suite,OYO Rooms,1374.3,38.97,41.25,325,Debit Card,Successful,Android,Urban
Flight Booking,Delhi to Mumbai,MakeMyTrip,933.09,40.51,48.96,619,UPI,Successful,Android,Urban
Mobile Recharge,Annual Plan 2999,Idea,9254.17,20.8,62.98,357,UPI,Successful,Android,Rural
Online Shopping,Steel Toe Shoes,Myntra,1033.68,12.2,65.29,748,UPI,Successful,Web,Urban
Grocery Shopping,Basmati Rice,Grofers,5652.04,5.81,13.68,306,Credit Card,Successful,iOS,Urban
Online Shopping,Laptop Backpack,Myntra,6993.78,41.81,88.54,265,UPI,Successful,Android,Urban
Loan Repayment,Home Loan EMI,Axis Bank,8134.71,34.72,1.99,868,Debit Card,Successful,iOS,Urban
Rent Payment,Co-working Space,NoBroker,2693.45,42.58,68.04,795,Wallet Balance,Successful,iOS,Urban
Electricity Bill,Temporary Connection Bill,Tata Power,936.51,39.24,86.59,285,Debit Card,Successful,Web,Urban
Bus Ticket,AC Seater,AbhiBus,3513.9,36.76,28.27,357,Debit Card,Successful,Android,Urban
Electricity Bill,Agricultural Bill,BSES,4792.41,29.3,90.59,954,Debit Card,Successful,Web,Rural
Bus Ticket,Volvo Multi-Axle,Paytm Bus,3228.53,44.92,18.73,454,UPI,Successful,iOS,Suburban
Gas Bill,Auto LPG,Bharat Gas,8328.33,34.81,48.33,87,UPI,Successful,Android,Urban
